source_id,task_success_rate,corroboration_score,report_timeliness,handler_confidence,deception_score,ci_flag,reliability_score,behavior_class,scenario_probability
SRC_01011,0.45,0.233,0.906,0.922,0.368,0,0.458,coerced,0.39
SRC_01012,0.972,0.451,0.453,0.814,0.539,0,0.536,coerced,0.41
SRC_01013,0.942,0.494,0.415,0.337,0.626,0,0.446,deceptive,0.293
SRC_01014,0.327,0.942,0.541,0.355,0.532,0,0.415,coerced,0.365
SRC_01015,0.78,0.356,0.6,0.773,0.021,0,0.556,uncertain,0.577
SRC_01016,0.929,0.609,0.776,0.556,0.717,1,0.462,deceptive,0.326
SRC_01017,0.423,0.94,0.479,0.8,0.465,0,0.508,coerced,0.407
SRC_01018,0.686,0.794,0.662,0.579,0.736,1,0.413,deceptive,0.256
SRC_01019,0.923,0.945,0.523,0.968,0.771,0,0.647,deceptive,0.44
SRC_01020,0.323,0.926,0.913,0.779,0.374,0,0.572,uncertain,0.487
SRC_01021,0.774,0.567,0.427,0.332,0.733,0,0.399,deceptive,0.181
SRC_01022,0.502,0.722,0.614,0.528,0.292,0,0.489,uncertain,0.391
SRC_01023,0.929,0.283,0.779,0.689,0.208,0,0.577,uncertain,0.55
SRC_01024,0.96,0.531,0.948,0.398,0.059,0,0.661,uncertain,0.611
SRC_01025,0.942,0.807,0.921,0.302,0.361,0,0.66,uncertain,0.576
SRC_01026,0.622,0.579,0.937,0.355,0.551,0,0.489,deceptive,0.333
SRC_01027,0.886,0.727,0.438,0.662,0.781,0,0.517,deceptive,0.266
SRC_01028,0.874,0.759,0.905,0.736,0.417,0,0.681,uncertain,0.588
SRC_01029,0.517,0.39,0.868,0.364,0.588,0,0.393,deceptive,0.285
SRC_01030,0.864,0.857,0.941,0.759,0.717,0,0.668,deceptive,0.423
SRC_01031,0.325,0.545,0.587,0.726,0.435,0,0.395,coerced,0.317
SRC_01032,0.705,0.358,0.947,0.949,0.133,0,0.613,uncertain,0.524
SRC_01033,0.456,0.849,0.642,0.88,0.679,1,0.408,deceptive,0.306
SRC_01034,0.382,0.513,0.78,0.951,0.459,0,0.473,coerced,0.387
SRC_01035,0.352,0.763,0.655,0.967,0.607,0,0.481,deceptive,0.263
SRC_01036,0.773,0.611,0.657,0.604,0.527,0,0.528,coerced,0.439
SRC_01037,0.531,0.486,0.728,0.637,0.049,0,0.515,uncertain,0.472
SRC_01038,0.793,0.807,0.614,0.494,0.135,0,0.616,uncertain,0.534
SRC_01039,0.344,0.638,0.876,0.651,0.229,0,0.501,uncertain,0.48
SRC_01040,0.514,0.493,0.78,0.404,0.228,0,0.46,uncertain,0.463
SRC_01041,0.667,0.282,0.814,0.763,0.671,0,0.447,deceptive,0.303
SRC_01042,0.838,0.872,0.539,0.317,0.479,0,0.553,uncertain,0.415
SRC_01043,0.517,0.227,0.982,0.463,0.067,0,0.468,uncertain,0.46
SRC_01044,0.726,0.847,0.796,0.444,0.31,0,0.609,uncertain,0.502
SRC_01045,0.902,0.47,0.518,0.947,0.445,0,0.567,uncertain,0.447
SRC_01046,0.719,0.68,0.85,0.4,0.201,0,0.586,uncertain,0.556
SRC_01047,0.458,0.892,0.504,0.915,0.032,0,0.594,uncertain,0.515
SRC_01048,0.317,0.314,0.438,0.386,0.304,0,0.274,uncertain,0.22
SRC_01049,0.892,0.625,0.717,0.749,0.369,0,0.624,uncertain,0.461
SRC_01050,0.314,0.773,0.732,0.521,0.724,0,0.403,deceptive,0.158
SRC_01051,0.895,0.768,0.513,0.518,0.727,0,0.532,deceptive,0.383
SRC_01052,0.66,0.594,0.609,0.989,0.4,0,0.557,uncertain,0.415
SRC_01053,0.939,0.669,0.967,0.456,0.377,1,0.554,deceptive,0.41
SRC_01054,0.843,0.768,0.571,0.44,0.512,0,0.548,coerced,0.405
SRC_01055,0.979,0.831,0.493,0.707,0.206,0,0.675,uncertain,0.594
SRC_01056,0.538,0.771,0.996,0.811,0.229,0,0.641,uncertain,0.595
SRC_01057,0.822,0.466,0.581,0.978,0.002,0,0.626,uncertain,0.634
SRC_01058,0.573,0.948,0.808,0.784,0.063,0,0.679,uncertain,0.614
SRC_01059,0.626,0.526,0.539,0.688,0.143,0,0.509,uncertain,0.388
SRC_01060,0.727,0.218,0.73,0.582,0.512,0,0.429,coerced,0.291
SRC_01061,0.894,0.472,0.632,0.711,0.17,0,0.594,uncertain,0.607
SRC_01062,0.969,0.296,0.977,0.715,0.099,0,0.652,uncertain,0.624
SRC_01063,0.822,0.291,0.66,0.45,0.493,0,0.445,coerced,0.304
SRC_01064,0.584,0.411,0.751,0.763,0.521,0,0.464,coerced,0.42
SRC_01065,0.587,0.24,0.967,0.441,0.048,0,0.488,uncertain,0.514
SRC_01066,0.802,0.716,0.994,0.638,0.618,0,0.621,deceptive,0.38
SRC_01067,0.462,0.255,0.461,0.479,0.485,0,0.294,coerced,0.159
SRC_01068,0.375,0.352,0.901,0.516,0.318,0,0.41,uncertain,0.342
SRC_01069,0.541,0.27,0.629,0.724,0.787,0,0.346,deceptive,0.096
SRC_01070,0.495,0.247,0.757,0.344,0.008,0,0.412,uncertain,0.395
SRC_01071,0.501,0.401,0.625,0.308,0.436,1,0.256,deceptive,0.148
SRC_01072,0.459,0.629,0.641,0.39,0.128,0,0.462,uncertain,0.419
SRC_01073,0.329,0.924,0.495,0.416,0.263,0,0.452,uncertain,0.326
SRC_01074,0.312,0.857,0.744,0.437,0.107,0,0.506,uncertain,0.553
SRC_01075,0.972,0.857,0.728,0.834,0.535,0,0.696,uncertain,0.576
SRC_01076,0.591,0.332,0.514,0.608,0.321,0,0.406,uncertain,0.283
SRC_01077,0.561,0.399,0.725,0.624,0.789,0,0.388,deceptive,0.235
SRC_01078,0.762,0.257,0.984,0.745,0.523,0,0.523,coerced,0.388
SRC_01079,0.448,0.784,0.829,0.803,0.734,0,0.507,deceptive,0.373
SRC_01080,0.946,0.252,0.689,0.302,0.193,0,0.501,uncertain,0.448
SRC_01081,0.835,0.618,0.95,0.891,0.255,0,0.69,uncertain,0.552
SRC_01082,0.361,0.386,0.745,0.982,0.29,0,0.458,uncertain,0.332
SRC_01083,0.584,0.383,0.481,0.384,0.671,1,0.224,deceptive,0.113
SRC_01084,0.898,0.943,0.729,0.749,0.169,0,0.738,uncertain,0.747
SRC_01085,0.942,0.768,0.509,0.302,0.757,0,0.508,deceptive,0.252
SRC_01086,0.618,0.828,0.861,0.334,0.035,0,0.609,uncertain,0.67
SRC_01087,0.717,0.629,0.98,0.497,0.712,0,0.536,deceptive,0.409
SRC_01088,0.414,0.853,0.616,0.884,0.361,0,0.539,coerced,0.417
SRC_01089,0.974,0.684,0.661,0.75,0.421,0,0.645,uncertain,0.536
SRC_01090,0.458,0.91,0.653,0.608,0.798,0,0.467,deceptive,0.157
SRC_01091,0.941,0.411,0.571,0.603,0.696,0,0.485,deceptive,0.276
SRC_01092,0.742,0.646,0.877,0.622,0.723,0,0.544,deceptive,0.353
SRC_01093,0.713,0.718,0.771,0.515,0.468,0,0.555,uncertain,0.453
SRC_01094,0.649,0.495,0.438,0.906,0.765,0,0.427,deceptive,0.23
SRC_01095,0.457,0.86,0.903,0.692,0.55,1,0.454,deceptive,0.323
SRC_01096,0.42,0.935,0.512,0.634,0.655,0,0.459,deceptive,0.247
SRC_01097,0.45,0.57,0.987,0.621,0.577,1,0.381,deceptive,0.253
SRC_01098,0.427,0.493,0.626,0.946,0.625,0,0.425,deceptive,0.353
SRC_01099,0.83,0.554,0.77,0.799,0.51,0,0.585,uncertain,0.479
SRC_01100,0.538,0.84,0.447,0.4,0.581,0,0.434,deceptive,0.29
SRC_01101,0.339,0.684,0.607,0.602,0.349,1,0.332,deceptive,0.208
SRC_01102,0.959,0.234,0.881,0.499,0.565,0,0.512,deceptive,0.353
SRC_01103,0.901,0.607,0.686,0.981,0.221,0,0.673,uncertain,0.552
SRC_01104,0.931,0.213,0.943,0.587,0.508,0,0.533,coerced,0.334
SRC_01105,0.977,0.784,0.745,0.347,0.419,0,0.627,uncertain,0.519
SRC_01106,0.418,0.446,0.957,0.584,0.719,0,0.408,deceptive,0.256
SRC_01107,0.569,0.554,0.99,0.522,0.539,0,0.505,coerced,0.327
SRC_01108,0.816,0.799,0.672,0.714,0.477,1,0.515,deceptive,0.456
SRC_01109,0.773,0.235,0.739,0.456,0.25,0,0.469,uncertain,0.378
SRC_01110,0.405,0.319,0.901,0.325,0.69,0,0.327,deceptive,0.15
SRC_01111,0.855,0.498,0.533,0.366,0.043,0,0.536,uncertain,0.573
SRC_01112,0.453,0.372,0.917,0.495,0.72,0,0.379,deceptive,0.183
SRC_01113,0.452,0.453,0.755,0.54,0.522,0,0.403,coerced,0.304
SRC_01114,0.665,0.949,0.835,0.876,0.152,0,0.712,uncertain,0.703
SRC_01115,0.703,0.819,0.448,0.486,0.722,0,0.47,deceptive,0.256
SRC_01116,0.694,0.863,0.86,0.322,0.261,0,0.605,uncertain,0.507
SRC_01117,0.362,0.903,0.586,0.839,0.135,1,0.457,deceptive,0.484
SRC_01118,0.897,0.456,0.883,0.9,0.255,1,0.556,deceptive,0.558
SRC_01119,0.481,0.423,0.705,0.64,0.769,0,0.372,deceptive,0.211
SRC_01120,0.388,0.376,0.565,0.497,0.602,0,0.308,deceptive,0.114
SRC_01121,0.904,0.823,0.972,0.833,0.733,0,0.686,deceptive,0.546
SRC_01122,0.95,0.71,0.859,0.306,0.239,0,0.644,uncertain,0.57
SRC_01123,0.886,0.377,0.991,0.938,0.066,0,0.689,uncertain,0.609
SRC_01124,0.85,0.483,0.619,0.897,0.45,0,0.567,uncertain,0.423
SRC_01125,0.746,0.58,0.79,0.676,0.386,0,0.57,uncertain,0.462
SRC_01126,0.675,0.596,0.767,0.492,0.576,0,0.492,deceptive,0.402
SRC_01127,0.359,0.867,0.813,0.323,0.434,1,0.37,deceptive,0.221
SRC_01128,0.578,0.485,0.423,0.99,0.317,0,0.48,uncertain,0.352
SRC_01129,0.553,0.881,0.575,0.826,0.004,1,0.524,deceptive,0.499
SRC_01130,0.477,0.531,0.946,0.534,0.374,0,0.489,coerced,0.389
SRC_01131,0.792,0.76,0.654,0.313,0.097,0,0.591,uncertain,0.6
SRC_01132,0.637,0.898,0.976,0.741,0.738,0,0.611,deceptive,0.455
SRC_01133,0.355,0.881,0.528,0.981,0.737,0,0.469,deceptive,0.172
SRC_01134,0.45,0.243,0.998,0.788,0.643,0,0.417,deceptive,0.238
SRC_01135,0.765,0.354,0.819,0.358,0.126,0,0.517,uncertain,0.492
SRC_01136,0.352,0.558,0.866,0.578,0.118,0,0.487,uncertain,0.414
SRC_01137,0.879,0.524,0.638,0.375,0.451,0,0.511,coerced,0.359
SRC_01138,0.637,0.681,0.944,0.929,0.582,0,0.602,deceptive,0.488
SRC_01139,0.627,0.909,0.727,0.528,0.724,0,0.531,deceptive,0.384
SRC_01140,0.703,0.284,0.809,0.806,0.715,0,0.457,deceptive,0.269
SRC_01141,0.861,0.539,0.457,0.358,0.124,1,0.42,deceptive,0.409
SRC_01142,0.537,0.344,0.779,0.389,0.796,0,0.342,deceptive,0.166
SRC_01143,0.761,0.871,0.927,0.769,0.125,0,0.728,uncertain,0.642
SRC_01144,0.685,0.923,0.507,0.882,0.672,0,0.569,deceptive,0.347
SRC_01145,0.482,0.559,0.843,0.439,0.47,0,0.448,coerced,0.311
SRC_01146,0.897,0.278,0.415,0.589,0.543,0,0.428,coerced,0.258
SRC_01147,0.842,0.789,0.956,0.727,0.483,0,0.678,uncertain,0.527
SRC_01148,0.748,0.723,0.99,0.849,0.696,0,0.626,deceptive,0.447
SRC_01149,0.878,0.466,0.613,0.733,0.51,0,0.536,coerced,0.404
SRC_01150,0.89,0.866,0.464,0.366,0.679,0,0.529,deceptive,0.231
SRC_01151,0.782,0.932,0.795,0.675,0.123,0,0.709,uncertain,0.683
SRC_01152,0.869,0.618,0.418,0.91,0.693,0,0.531,deceptive,0.345
SRC_01153,0.774,0.624,0.689,0.899,0.794,0,0.542,deceptive,0.355
SRC_01154,0.762,0.423,0.563,0.704,0.529,0,0.473,coerced,0.309
SRC_01155,0.721,0.638,0.684,0.987,0.781,0,0.544,deceptive,0.317
SRC_01156,0.812,0.53,0.411,0.373,0.176,1,0.388,deceptive,0.324
SRC_01157,0.408,0.427,0.431,0.63,0.663,0,0.31,deceptive,0.198
SRC_01158,0.899,0.25,0.41,0.835,0.135,0,0.519,uncertain,0.464
SRC_01159,0.893,0.39,0.771,0.397,0.413,0,0.517,coerced,0.469
SRC_01160,0.32,0.348,0.736,0.971,0.531,0,0.396,coerced,0.312
SRC_01161,0.862,0.607,0.54,0.544,0.528,0,0.521,coerced,0.372
SRC_01162,0.388,0.651,0.788,0.542,0.537,0,0.438,coerced,0.278
SRC_01163,0.528,0.656,0.931,0.447,0.257,0,0.537,uncertain,0.449
SRC_01164,0.806,0.491,0.566,0.499,0.779,0,0.436,deceptive,0.234
SRC_01165,0.409,0.516,0.899,0.699,0.005,0,0.536,uncertain,0.507
SRC_01166,0.856,0.826,0.798,0.596,0.497,0,0.638,uncertain,0.551
SRC_01167,0.866,0.557,0.42,0.433,0.693,0,0.444,deceptive,0.238
SRC_01168,0.645,0.941,0.625,0.858,0.713,0,0.576,deceptive,0.441
SRC_01169,0.304,0.53,0.705,0.343,0.576,0,0.33,deceptive,0.139
SRC_01170,0.495,0.687,0.839,0.876,0.46,0,0.55,uncertain,0.352
SRC_01171,0.72,0.238,0.572,0.49,0.366,0,0.408,coerced,0.227
SRC_01172,0.967,0.69,0.99,0.642,0.36,0,0.703,uncertain,0.586
SRC_01173,0.73,0.839,0.811,0.563,0.34,0,0.624,uncertain,0.499
SRC_01174,0.477,0.907,0.624,0.694,0.56,0,0.515,deceptive,0.332
SRC_01175,0.731,0.948,0.458,0.849,0.585,0,0.588,deceptive,0.491
SRC_01176,0.667,0.412,0.509,0.983,0.412,0,0.491,coerced,0.351
SRC_01177,0.83,0.632,0.693,0.511,0.593,0,0.533,deceptive,0.286
SRC_01178,0.373,0.538,0.697,0.682,0.423,0,0.425,coerced,0.347
SRC_01179,0.817,0.623,0.861,0.622,0.078,0,0.655,uncertain,0.702
SRC_01180,0.668,0.318,0.836,0.989,0.681,0,0.493,deceptive,0.345
SRC_01181,0.955,0.842,0.521,0.858,0.696,0,0.626,deceptive,0.418
SRC_01182,0.532,0.882,0.757,0.574,0.213,1,0.486,deceptive,0.441
SRC_01183,0.73,0.537,0.412,0.629,0.629,1,0.336,deceptive,0.139
SRC_01184,0.934,0.41,0.639,0.47,0.409,0,0.52,coerced,0.369
SRC_01185,0.37,0.306,0.858,0.821,0.099,0,0.467,uncertain,0.432
SRC_01186,0.937,0.713,0.64,0.883,0.318,0,0.672,uncertain,0.59
SRC_01187,0.768,0.434,0.901,0.966,0.061,1,0.555,deceptive,0.53
SRC_01188,0.346,0.882,0.986,0.69,0.629,0,0.531,deceptive,0.457
SRC_01189,0.505,0.703,0.764,0.763,0.157,0,0.571,uncertain,0.534
SRC_01190,0.782,0.684,0.487,0.608,0.132,0,0.574,uncertain,0.589
SRC_01191,0.346,0.62,0.628,0.72,0.167,0,0.467,uncertain,0.537
SRC_01192,0.696,0.234,0.406,0.541,0.181,0,0.402,uncertain,0.333
SRC_01193,0.535,0.899,0.762,0.809,0.539,0,0.578,uncertain,0.451
SRC_01194,0.722,0.671,0.893,0.316,0.511,0,0.534,coerced,0.447
SRC_01195,0.331,0.946,0.778,0.32,0.103,0,0.524,uncertain,0.504
SRC_01196,0.893,0.603,0.872,0.794,0.58,0,0.625,deceptive,0.466
SRC_01197,0.962,0.733,0.88,0.942,0.279,1,0.647,deceptive,0.694
SRC_01198,0.959,0.242,0.911,0.736,0.366,0,0.586,uncertain,0.554
SRC_01199,0.81,0.674,0.56,0.801,0.1,0,0.629,uncertain,0.499
SRC_01200,0.388,0.773,0.923,0.869,0.567,0,0.54,deceptive,0.466
SRC_01201,0.816,0.784,0.792,0.55,0.301,0,0.637,uncertain,0.642
SRC_01202,0.317,0.778,0.574,0.375,0.506,0,0.385,coerced,0.318
SRC_01203,0.315,0.37,0.992,0.944,0.342,0,0.476,uncertain,0.428
SRC_01204,0.52,0.932,0.97,0.948,0.039,0,0.719,uncertain,0.787
SRC_01205,0.632,0.946,0.745,0.605,0.563,0,0.581,deceptive,0.484
SRC_01206,0.824,0.257,0.906,0.45,0.442,1,0.394,deceptive,0.312
SRC_01207,0.765,0.902,0.557,0.916,0.347,0,0.652,uncertain,0.572
SRC_01208,0.603,0.417,0.65,0.789,0.161,0,0.509,uncertain,0.415
SRC_01209,0.486,0.717,0.51,0.306,0.499,0,0.398,coerced,0.205
SRC_01210,0.978,0.454,0.712,0.374,0.22,0,0.572,uncertain,0.556
SRC_01211,0.59,0.926,0.698,0.978,0.343,0,0.643,uncertain,0.595
SRC_01212,0.607,0.276,0.528,0.326,0.045,0,0.399,uncertain,0.386
SRC_01213,0.411,0.573,0.804,0.495,0.621,0,0.408,deceptive,0.21
SRC_01214,0.84,0.521,0.471,0.678,0.072,0,0.567,uncertain,0.492
SRC_01215,0.772,0.445,0.437,0.427,0.713,0,0.387,deceptive,0.191
SRC_01216,0.45,0.684,0.631,0.46,0.694,0,0.397,deceptive,0.259
SRC_01217,0.356,0.298,0.646,0.544,0.777,0,0.276,deceptive,0.194
SRC_01218,0.763,0.737,0.592,0.486,0.727,0,0.495,deceptive,0.312
SRC_01219,0.745,0.935,0.555,0.854,0.777,0,0.58,deceptive,0.4
SRC_01220,0.486,0.803,0.603,0.645,0.71,0,0.457,deceptive,0.336
SRC_01221,0.947,0.845,0.498,0.492,0.09,0,0.655,uncertain,0.629
SRC_01222,0.403,0.47,0.642,0.516,0.35,0,0.392,uncertain,0.323
SRC_01223,0.594,0.444,0.943,0.328,0.061,0,0.518,uncertain,0.544
SRC_01224,0.942,0.588,0.535,0.334,0.436,0,0.521,coerced,0.467
SRC_01225,0.585,0.234,0.811,0.795,0.424,0,0.452,coerced,0.349
SRC_01226,0.734,0.909,0.485,0.378,0.738,0,0.49,deceptive,0.281
SRC_01227,0.57,0.308,0.612,0.628,0.776,0,0.348,deceptive,0.164
SRC_01228,0.486,0.877,0.593,0.881,0.208,1,0.485,deceptive,0.348
SRC_01229,0.969,0.263,0.962,0.554,0.466,1,0.462,deceptive,0.36
SRC_01230,0.578,0.817,0.657,0.539,0.372,0,0.534,coerced,0.484
SRC_01231,0.908,0.314,0.814,0.902,0.437,0,0.583,uncertain,0.559
SRC_01232,0.456,0.229,0.761,0.897,0.425,0,0.417,coerced,0.357
SRC_01233,0.445,0.74,0.485,0.907,0.731,0,0.442,deceptive,0.131
SRC_01234,0.321,0.41,0.964,0.695,0.717,0,0.388,deceptive,0.278
SRC_01235,0.743,0.736,0.608,0.957,0.098,0,0.657,uncertain,0.706
SRC_01236,0.551,0.616,0.427,0.865,0.276,0,0.493,uncertain,0.378
SRC_01237,0.888,0.282,0.58,0.587,0.602,0,0.451,deceptive,0.28
SRC_01238,0.622,0.899,0.601,0.734,0.547,0,0.56,uncertain,0.495
SRC_01239,0.958,0.539,0.456,0.384,0.505,1,0.395,deceptive,0.272
SRC_01240,0.426,0.751,0.772,0.68,0.795,0,0.453,deceptive,0.225
SRC_01241,0.891,0.576,0.608,0.482,0.27,1,0.465,deceptive,0.36
SRC_01242,0.828,0.653,0.777,0.496,0.412,0,0.58,uncertain,0.609
SRC_01243,0.824,0.427,0.404,0.387,0.783,0,0.375,deceptive,0.219
SRC_01244,0.874,0.35,0.989,0.547,0.556,0,0.546,deceptive,0.393
SRC_01245,0.817,0.607,0.502,0.632,0.519,0,0.514,coerced,0.456
SRC_01246,0.726,0.53,0.796,0.714,0.124,0,0.598,uncertain,0.562
SRC_01247,0.389,0.493,0.829,0.51,0.197,0,0.453,uncertain,0.464
SRC_01248,0.322,0.704,0.503,0.847,0.302,0,0.455,uncertain,0.409
SRC_01249,0.926,0.718,0.467,0.659,0.372,0,0.594,uncertain,0.484
SRC_01250,0.719,0.234,0.492,0.74,0.398,0,0.424,coerced,0.349
SRC_01251,0.842,0.454,0.548,0.492,0.722,1,0.341,deceptive,0.187
SRC_01252,0.627,0.509,0.501,0.862,0.086,0,0.532,uncertain,0.551
SRC_01253,0.38,0.273,0.804,0.731,0.199,0,0.423,uncertain,0.455
SRC_01254,0.385,0.377,0.652,0.895,0.115,1,0.357,deceptive,0.439
SRC_01255,0.766,0.239,0.723,0.41,0.588,0,0.407,deceptive,0.281
SRC_01256,0.593,0.947,0.428,0.563,0.776,0,0.468,deceptive,0.179
SRC_01257,0.436,0.752,0.917,0.378,0.715,0,0.452,deceptive,0.317
SRC_01258,0.634,0.266,0.502,0.449,0.579,0,0.338,deceptive,0.18
SRC_01259,0.344,0.215,0.616,0.572,0.017,0,0.363,uncertain,0.274
SRC_01260,0.696,0.739,0.443,0.917,0.278,0,0.578,uncertain,0.543
SRC_01261,0.483,0.529,0.482,0.684,0.691,0,0.373,deceptive,0.222
SRC_01262,0.842,0.79,0.799,0.528,0.522,0,0.611,uncertain,0.44
SRC_01263,0.511,0.893,0.816,0.815,0.168,0,0.637,uncertain,0.536
SRC_01264,0.61,0.649,0.806,0.314,0.373,0,0.498,coerced,0.475
SRC_01265,0.308,0.34,0.731,0.555,0.07,0,0.396,uncertain,0.404
SRC_01266,0.349,0.787,0.972,0.715,0.417,0,0.541,coerced,0.397
SRC_01267,0.567,0.917,0.704,0.702,0.721,0,0.537,deceptive,0.39
SRC_01268,0.626,0.635,0.67,0.719,0.031,0,0.584,uncertain,0.555
SRC_01269,0.708,0.711,0.549,0.446,0.491,0,0.493,coerced,0.397
SRC_01270,0.498,0.453,0.459,0.533,0.186,0,0.406,uncertain,0.375
SRC_01271,0.773,0.486,0.729,0.943,0.792,0,0.522,deceptive,0.196
SRC_01272,0.885,0.751,0.589,0.972,0.052,0,0.709,uncertain,0.701
SRC_01273,0.83,0.896,0.714,0.515,0.494,0,0.619,uncertain,0.487
SRC_01274,0.327,0.672,0.524,0.745,0.205,0,0.452,uncertain,0.364
SRC_01275,0.627,0.792,0.903,0.466,0.706,0,0.531,deceptive,0.291
SRC_01276,0.371,0.329,1.0,0.554,0.098,0,0.462,uncertain,0.427
SRC_01277,0.465,0.359,0.593,0.847,0.343,0,0.423,uncertain,0.32
SRC_01278,0.971,0.599,0.905,0.646,0.148,0,0.697,uncertain,0.693
SRC_01279,0.397,0.332,0.924,0.886,0.64,0,0.424,deceptive,0.257
SRC_01280,0.639,0.676,0.998,0.734,0.281,0,0.628,uncertain,0.562
SRC_01281,0.72,0.419,0.606,0.734,0.149,0,0.53,uncertain,0.509
SRC_01282,0.778,0.794,0.854,0.323,0.581,0,0.564,deceptive,0.396
SRC_01283,0.681,0.806,0.537,0.817,0.654,0,0.538,deceptive,0.325
SRC_01284,0.307,0.548,0.775,0.975,0.37,0,0.475,coerced,0.493
SRC_01285,0.522,0.336,0.823,0.626,0.303,0,0.454,uncertain,0.374
SRC_01286,0.652,0.685,0.845,0.409,0.506,0,0.521,coerced,0.384
SRC_01287,0.36,0.945,0.524,0.974,0.521,0,0.517,coerced,0.457
SRC_01288,0.538,0.667,0.909,0.5,0.529,0,0.506,coerced,0.468
SRC_01289,0.323,0.227,0.653,0.582,0.221,1,0.238,deceptive,0.255
SRC_01290,0.353,0.213,0.53,0.353,0.753,0,0.205,deceptive,0.0
SRC_01291,0.57,0.44,0.726,0.376,0.171,0,0.457,uncertain,0.432
SRC_01292,0.39,0.347,0.918,0.449,0.299,0,0.41,uncertain,0.364
SRC_01293,0.686,0.81,0.98,0.678,0.227,0,0.672,uncertain,0.727
SRC_01294,0.769,0.834,0.849,0.685,0.745,0,0.6,deceptive,0.435
SRC_01295,0.844,0.394,0.403,0.718,0.663,1,0.341,deceptive,0.198
SRC_01296,0.436,0.444,0.481,0.703,0.649,0,0.346,deceptive,0.133
SRC_01297,0.414,0.377,0.446,0.642,0.004,0,0.403,uncertain,0.339
SRC_01298,0.371,0.881,0.461,0.853,0.549,0,0.469,coerced,0.399
SRC_01299,0.733,0.577,0.63,0.944,0.184,0,0.604,uncertain,0.575
SRC_01300,0.78,0.692,0.603,0.486,0.774,0,0.484,deceptive,0.313
SRC_01301,0.321,0.512,0.468,0.39,0.425,0,0.313,coerced,0.26
SRC_01302,0.937,0.673,0.929,0.593,0.452,0,0.656,uncertain,0.586
SRC_01303,0.335,0.489,0.769,0.318,0.285,0,0.382,uncertain,0.347
SRC_01304,0.668,0.455,0.878,0.909,0.429,0,0.562,uncertain,0.487
SRC_01305,0.782,0.676,0.623,0.465,0.6,0,0.508,deceptive,0.365
SRC_01306,0.892,0.643,0.646,0.679,0.45,0,0.592,uncertain,0.49
SRC_01307,0.786,0.42,0.591,0.379,0.513,0,0.439,coerced,0.357
SRC_01308,0.845,0.312,0.663,0.682,0.378,1,0.41,deceptive,0.269
SRC_01309,0.531,0.476,0.766,0.327,0.573,0,0.395,deceptive,0.199
SRC_01310,0.854,0.511,0.696,0.83,0.72,0,0.54,deceptive,0.364
SRC_01311,0.354,0.672,0.903,0.959,0.041,0,0.592,uncertain,0.589
SRC_01312,0.908,0.886,0.94,0.512,0.086,0,0.746,uncertain,0.761
SRC_01313,0.672,0.227,0.682,0.478,0.548,0,0.384,coerced,0.236
SRC_01314,0.856,0.383,0.544,0.609,0.302,0,0.507,uncertain,0.393
SRC_01315,0.608,0.345,0.967,0.728,0.225,0,0.537,uncertain,0.511
SRC_01316,0.738,0.577,0.841,0.43,0.143,0,0.577,uncertain,0.609
SRC_01317,0.658,0.522,0.784,0.854,0.458,0,0.544,coerced,0.448
SRC_01318,0.797,0.747,0.847,0.437,0.278,0,0.619,uncertain,0.477
SRC_01319,0.356,0.382,0.446,0.304,0.406,1,0.176,deceptive,0.088
SRC_01320,0.341,0.646,0.441,0.662,0.767,1,0.236,deceptive,0.0
SRC_01321,0.468,0.863,0.492,0.379,0.607,0,0.42,deceptive,0.266
SRC_01322,0.408,0.883,0.488,0.782,0.637,0,0.462,deceptive,0.202
SRC_01323,0.893,0.919,0.652,0.416,0.099,0,0.676,uncertain,0.63
SRC_01324,0.449,0.78,0.494,0.864,0.26,0,0.519,uncertain,0.48
SRC_01325,0.964,0.879,0.913,0.625,0.085,0,0.773,cooperative,0.737
SRC_01326,0.529,0.376,0.747,0.691,0.775,0,0.39,deceptive,0.254
SRC_01327,0.424,0.348,0.621,0.429,0.546,0,0.321,coerced,0.195
SRC_01328,0.837,0.205,0.442,0.401,0.015,0,0.449,uncertain,0.389
SRC_01329,0.748,0.73,0.755,0.736,0.38,0,0.611,uncertain,0.561
SRC_01330,0.639,0.903,0.47,0.476,0.211,1,0.451,deceptive,0.433
SRC_01331,0.678,0.34,0.846,0.566,0.432,0,0.478,coerced,0.434
SRC_01332,0.789,0.678,0.882,0.631,0.143,0,0.656,uncertain,0.656
SRC_01333,0.455,0.76,0.726,0.458,0.045,0,0.534,uncertain,0.546
SRC_01334,0.978,0.896,0.49,0.849,0.259,0,0.704,uncertain,0.59
SRC_01335,0.963,0.685,0.872,0.948,0.236,0,0.741,uncertain,0.723
SRC_01336,0.742,0.928,0.585,0.598,0.574,0,0.575,deceptive,0.424
SRC_01337,0.436,0.459,0.534,0.933,0.38,1,0.335,deceptive,0.28
SRC_01338,0.763,0.462,0.682,0.909,0.233,0,0.582,uncertain,0.635
SRC_01339,0.349,0.607,0.954,0.415,0.456,1,0.341,deceptive,0.287
SRC_01340,0.321,0.488,0.578,0.42,0.057,0,0.388,uncertain,0.388
SRC_01341,0.475,0.201,0.943,0.629,0.53,0,0.396,coerced,0.267
SRC_01342,0.615,0.749,0.432,0.663,0.118,0,0.54,uncertain,0.49
SRC_01343,0.89,0.764,0.45,0.535,0.224,0,0.595,uncertain,0.423
